date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:57:15	111/111	---M-Z	200	added ('OK')	text/plain	date:Tue,%2023%20Feb%202016%2006:57:15%20GMT	http://thegeekdiary.com/robots.txt		(from )
07:57:16	33264/33264	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202016%2006:57:15%20GMT	http://thegeekdiary.com/	/var/www/html/geekdiary/thegeekdiary.com/index.html	(from )
07:57:16	29334/29334	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Jan%202016%2016:05:00%20GMT	http://thegeekdiary.com/wp-content/cache/min/1/ab9dfccf3aeaecf3d14cd8e298c691c9.css	/var/www/html/geekdiary/thegeekdiary.com/wp-content/cache/min/1/ab9dfccf3aeaecf3d14cd8e298c691c9.css	(from http://thegeekdiary.com/)
07:57:17	2609/2609	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2001%20Jan%202016%2016:04:46%20GMT	http://thegeekdiary.com/wp-content/cache/min/1/6d40f649f9b6e55667652760e63f5b7f.js	/var/www/html/geekdiary/thegeekdiary.com/wp-content/cache/min/1/6d40f649f9b6e55667652760e63f5b7f.js	(from http://thegeekdiary.com/)
07:57:17	20548/20548	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2001%20Jan%202016%2016:04:46%20GMT	http://thegeekdiary.com/wp-content/cache/min/1/bd2496c4770e643443664a8d2d58dd49.js	/var/www/html/geekdiary/thegeekdiary.com/wp-content/cache/min/1/bd2496c4770e643443664a8d2d58dd49.js	(from http://thegeekdiary.com/)
07:57:18	105720/105720	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2001%20Jan%202016%2016:04:46%20GMT	http://thegeekdiary.com/wp-content/cache/min/1/203bccdeaed8b26e6c7a81dfdd6586ac.js	/var/www/html/geekdiary/thegeekdiary.com/wp-content/cache/min/1/203bccdeaed8b26e6c7a81dfdd6586ac.js	(from http://thegeekdiary.com/)
07:57:18	4994/4994	---M-Z	200	added ('OK')	application/rss+xml	date:Sun,%2014%20Feb%202016%2013:55:33%20GMT	http://thegeekdiary.com/feed/	/var/www/html/geekdiary/thegeekdiary.com/feed/index.html	(from http://thegeekdiary.com/)
07:57:18	5838/5838	---M-Z	200	added ('OK')	application/rss+xml	date:Thu,%2028%20Jan%202016%2017:21:00%20GMT	http://thegeekdiary.com/comments/feed/	/var/www/html/geekdiary/thegeekdiary.com/comments/feed/index.html	(from http://thegeekdiary.com/)
07:57:18	830/830	---M-Z	200	added ('OK')	text/xml	date:Tue,%2023%20Feb%202016%2006:57:18%20GMT	http://thegeekdiary.com/xmlrpc.php?rsd	/var/www/html/geekdiary/thegeekdiary.com/xmlrpc0db0.php	(from http://thegeekdiary.com/)
07:57:18	958/958	---M-Z	200	added ('OK')	image/x-icon	date:Thu,%2028%20Aug%202014%2009:00:08%20GMT	http://thegeekdiary.com/wp-content/themes/minimum-pro/images/favicon.ico	/var/www/html/geekdiary/thegeekdiary.com/wp-content/themes/minimum-pro/images/favicon.ico	(from http://thegeekdiary.com/)
07:57:18	4681/4681	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2028%20Nov%202015%2008:46:38%20GMT	http://thegeekdiary.com/wp-content/plugins/wp-rocket/inc/front/js/lazyload.1.0.2.min.js	/var/www/html/geekdiary/thegeekdiary.com/wp-content/plugins/wp-rocket/inc/front/js/lazyload.1.0.2.min.js	(from http://thegeekdiary.com/)
07:57:19	978/978	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202016%2006:57:19%20GMT	http://thegeekdiary.com/wp-json/	/var/www/html/geekdiary/thegeekdiary.com/wp-json/index.html	(from http://thegeekdiary.com/)
07:57:20	1520/1520	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2028%20Aug%202014%2009:00:08%20GMT	http://thegeekdiary.com/wp-content/themes/minimum-pro/fonts/Icon.eot	/var/www/html/geekdiary/thegeekdiary.com/wp-content/themes/minimum-pro/fonts/Icon.eot	(from http://thegeekdiary.com/wp-content/cache/min/1/ab9dfccf3aeaecf3d14cd8e298c691c9.css)
07:57:20	41135/41135	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202016%2006:57:19%20GMT	http://thegeekdiary.com/category/solaris/svm/	/var/www/html/geekdiary/thegeekdiary.com/category/solaris/svm/index.html	(from http://thegeekdiary.com/)
07:57:20	38057/38057	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202016%2006:57:19%20GMT	http://thegeekdiary.com/category/solaris/	/var/www/html/geekdiary/thegeekdiary.com/category/solaris/index.html	(from http://thegeekdiary.com/)
07:57:21	41197/41197	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202016%2006:57:20%20GMT	http://thegeekdiary.com/category/solaris/zfs/	/var/www/html/geekdiary/thegeekdiary.com/category/solaris/zfs/index.html	(from http://thegeekdiary.com/)
07:57:21	39706/39706	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202016%2006:57:20%20GMT	http://thegeekdiary.com/category/solaris/hardware/	/var/www/html/geekdiary/thegeekdiary.com/category/solaris/hardware/index.html	(from http://thegeekdiary.com/)
